No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
-149;Mains Underfrequency;21.06.2002;04:46:35;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,7;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-150;SetpointChange;21.06.2002;04:44:51;T=CELL 1 CON(24364)=aus.airgate.link
-151;SetpointChange;21.06.2002;04:32:56;T=CELL 1 CON(24311)=airgate.comap.cz:9925
-152;SetpointChange;21.06.2002;04:09:55;T=CELL 2 CON(24311)=airgate.comap.cz:44445
-153;Not Ready;21.06.2002;01:58:26;0;0,00; ;0;0;0;50,1;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-154;GCB Opened;21.06.2002;01:58:23;339;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;12,6;161;0;0;0;0;0;0;0;MAN
-155;Gen-set Stop;21.06.2002;01:58:23;352;0,00; ;0;0;0;50,2;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01100100 00000000;13,1;159;0;0;0;0;0;0;0;MAN
-156;Sd Underspeed;21.06.2002;01:58:23;352;0,00; ;0;0;0;50,2;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01100100 00000000;13,1;159;0;0;0;0;0;0;0;MAN
-157;Running;21.06.2002;01:48:34;1617;0,00; ;0;0;0;50,1;229;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000000 00000000;53,9;228;0;0;0;0;0;0;0;MAN
-158;Idle Run;21.06.2002;01:48:22;495;0,00; ;0;0;0;50,1;226;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000000 00000000;0,0;190;0;0;0;0;0;0;0;MAN
-159;Manual Start;21.06.2002;01:48:20;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-160;Terminal;21.06.2002;01:48:20;T=CELL 2 Start command
-161;Ready;21.06.2002;01:47:56;0;0,00; ;0;0;0;50,1;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-162;Fault reset;21.06.2002;01:47:56;0;0,00; ;0;0;0;50,1;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-163;Terminal;21.06.2002;01:47:56;T=CELL 2 FaultReset command
-164;Not Ready;21.06.2002;01:42:44;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-165;GCB Opened;21.06.2002;01:42:42;333;0,00; ;0;0;0;50,0;229;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;12,4;160;0;0;0;0;0;0;0;MAN
-166;Gen-set Stop;21.06.2002;01:42:42;347;0,00; ;0;0;0;50,1;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01100100 00000000;12,9;164;0;0;0;0;0;0;0;MAN
-167;Sd Underspeed;21.06.2002;01:42:42;364;0,00; ;0;0;0;50,1;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01100100 00000000;13,4;169;0;0;0;0;0;0;0;MAN
-168;Running;21.06.2002;01:42:13;1614;0,00; ;0;0;0;50,1;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000000 00000000;53,9;226;0;0;0;0;0;0;0;MAN
-169;Idle Run;21.06.2002;01:42:01;491;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000000 00000000;0,0;174;0;0;0;0;0;0;0;MAN
-170;Manual Start;21.06.2002;01:41:58;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-171;Terminal;21.06.2002;01:41:58;T=CELL 2 Start command
-172;Ready;21.06.2002;01:41:29;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-173;Fault reset;21.06.2002;01:41:29;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-174;Terminal;21.06.2002;01:41:29;T=CELL 2 FaultReset command
-175;Not Ready;21.06.2002;01:39:37;0;0,00; ;0;0;0;50,1;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-176;GCB Opened;21.06.2002;01:39:35;338;0,00; ;0;0;0;50,1;235;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;00000010 00000000;12,4;151;0;0;0;0;0;0;0;MAN
-177;Gen-set Stop;21.06.2002;01:39:35;352;0,00; ;0;0;0;50,1;225;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01100100 00000000;12,9;164;0;0;0;0;0;0;0;MAN
-178;Sd Underspeed;21.06.2002;01:39:35;352;0,00; ;0;0;0;50,1;225;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01100100 00000000;12,9;164;0;0;0;0;0;0;0;MAN
-179;Time Stamp;21.06.2002;01:00:00;1609;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;230;0;0;0;0;0;0;0;MAN
-180;Time Stamp;21.06.2002;00:00:00;1610;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;227;0;0;0;0;0;0;0;MAN
-181;Time Stamp;20.06.2002;23:00:00;1610;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;230;0;0;0;0;0;0;0;MAN
-182;Time Stamp;20.06.2002;22:00:00;1608;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;231;0;0;0;0;0;0;0;MAN
-183;Time Stamp;20.06.2002;21:00:00;1608;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;229;0;0;0;0;0;0;0;MAN
-184;Time Stamp;20.06.2002;20:00:00;1610;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;231;0;0;0;0;0;0;0;MAN
-185;Time Stamp;20.06.2002;19:00:00;1610;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;227;0;0;0;0;0;0;0;MAN
-186;Time Stamp;20.06.2002;18:00:00;1610;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;228;0;0;0;0;0;0;0;MAN
-187;Time Stamp;20.06.2002;17:00:00;1610;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;230;0;0;0;0;0;0;0;MAN
-188;Time Stamp;20.06.2002;16:00:00;1610;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;230;0;0;0;0;0;0;0;MAN
-189;Time Stamp;20.06.2002;15:00:00;1610;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;229;0;0;0;0;0;0;0;MAN
-190;Time Stamp;20.06.2002;14:00:00;1610;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;229;0;0;0;0;0;0;0;MAN
-191;Time Stamp;20.06.2002;13:00:00;1610;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;230;0;0;0;0;0;0;0;MAN
-192;Time Stamp;20.06.2002;12:00:00;1610;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;230;0;0;0;0;0;0;0;MAN
-193;Time Stamp;20.06.2002;11:00:00;1610;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;231;0;0;0;0;0;0;0;MAN
-194;Time Stamp;20.06.2002;10:00:00;1610;0,00; ;0;0;0;50,1;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;228;0;0;0;0;0;0;0;MAN
-195;Time Stamp;20.06.2002;09:00:00;1609;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;229;0;0;0;0;0;0;0;MAN
-196;Time Stamp;20.06.2002;08:00:00;1608;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;231;0;0;0;0;0;0;0;MAN
-197;Time Stamp;20.06.2002;07:00:00;1609;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;227;0;0;0;0;0;0;0;MAN
-198;Time Stamp;20.06.2002;06:00:00;1609;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;231;0;0;0;0;0;0;0;MAN
-199;Time Stamp;20.06.2002;05:00:00;1609;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;230;0;0;0;0;0;0;0;MAN
-200;Time Stamp;20.06.2002;04:00:00;1609;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;229;0;0;0;0;0;0;0;MAN
-201;Time Stamp;20.06.2002;03:00:00;1610;0,00; ;0;0;0;50,1;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;229;0;0;0;0;0;0;0;MAN
-202;Time Stamp;20.06.2002;02:00:00;1609;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;230;0;0;0;0;0;0;0;MAN
-203;Time Stamp;20.06.2002;01:00:00;1609;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;231;0;0;0;0;0;0;0;MAN
-204;Time Stamp;20.06.2002;00:00:00;1608;0,00; ;0;0;0;50,1;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;229;0;0;0;0;0;0;0;MAN
-205;Time Stamp;19.06.2002;23:00:00;1608;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;228;0;0;0;0;0;0;0;MAN
-206;Time Stamp;19.06.2002;22:00:00;1607;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;231;0;0;0;0;0;0;0;MAN
-207;Time Stamp;19.06.2002;21:00:00;1607;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;230;0;0;0;0;0;0;0;MAN
-208;Time Stamp;19.06.2002;20:00:00;1607;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;228;0;0;0;0;0;0;0;MAN
-209;Time Stamp;19.06.2002;19:00:00;1606;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;231;0;0;0;0;0;0;0;MAN
-210;Time Stamp;19.06.2002;18:00:00;1606;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;227;0;0;0;0;0;0;0;MAN
-211;Time Stamp;19.06.2002;17:00:00;1606;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;229;0;0;0;0;0;0;0;MAN
-212;Time Stamp;19.06.2002;16:00:00;1605;0,00; ;0;0;0;50,1;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;228;0;0;0;0;0;0;0;MAN
-213;Time Stamp;19.06.2002;15:00:00;1606;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;231;0;0;0;0;0;0;0;MAN
-214;Time Stamp;19.06.2002;14:00:00;1605;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;227;0;0;0;0;0;0;0;MAN
-215;Time Stamp;19.06.2002;13:00:00;1605;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;230;0;0;0;0;0;0;0;MAN
-216;Time Stamp;19.06.2002;12:00:00;1604;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;227;0;0;0;0;0;0;0;MAN
-217;Time Stamp;19.06.2002;11:00:00;1604;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;229;0;0;0;0;0;0;0;MAN
-218;Time Stamp;19.06.2002;10:00:00;1604;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;226;0;0;0;0;0;0;0;MAN
-219;Time Stamp;19.06.2002;09:00:00;1602;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,4;230;0;0;0;0;0;0;0;MAN
-220;Time Stamp;19.06.2002;08:00:00;1601;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;49;53;#####;00000000 00000000;01000100 00000000;53,4;230;0;0;0;0;0;0;0;MAN
-221;Time Stamp;19.06.2002;07:00:00;1599;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;49;53;#####;00000000 00000000;01000100 00000000;53,3;230;0;0;0;0;0;0;0;MAN
-222;Time Stamp;19.06.2002;06:00:00;1593;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;49;53;#####;00000000 00000000;01000100 00000000;53,1;227;0;0;0;0;0;0;0;MAN
-223;Time Stamp;19.06.2002;05:00:00;1608;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;229;0;0;0;0;0;0;0;MAN
-224;Time Stamp;19.06.2002;04:00:00;1611;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;227;0;0;0;0;0;0;0;MAN
-225;Time Stamp;19.06.2002;03:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-226;Time Stamp;19.06.2002;02:00:00;1615;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-227;Time Stamp;19.06.2002;01:00:00;1616;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;227;0;0;0;0;0;0;0;MAN
-228;Time Stamp;19.06.2002;00:00:00;1616;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;227;0;0;0;0;0;0;0;MAN
-229;Time Stamp;18.06.2002;23:00:00;1615;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;228;0;0;0;0;0;0;0;MAN
-230;Time Stamp;18.06.2002;22:00:00;1615;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;229;0;0;0;0;0;0;0;MAN
-231;Time Stamp;18.06.2002;21:00:00;1615;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-232;Time Stamp;18.06.2002;20:00:00;1614;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;228;0;0;0;0;0;0;0;MAN
-233;Time Stamp;18.06.2002;19:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;232;0;0;0;0;0;0;0;MAN
-234;Time Stamp;18.06.2002;18:00:00;1615;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;229;0;0;0;0;0;0;0;MAN
-235;Time Stamp;18.06.2002;17:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-236;Time Stamp;18.06.2002;16:00:00;1614;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;230;0;0;0;0;0;0;0;MAN
-237;Time Stamp;18.06.2002;15:00:00;1614;0,00; ;0;0;0;49,9;234;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-238;Time Stamp;18.06.2002;14:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-239;Time Stamp;18.06.2002;13:00:00;1613;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;227;0;0;0;0;0;0;0;MAN
-240;Time Stamp;18.06.2002;12:00:00;1613;0,00; ;0;0;0;49,9;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;232;0;0;0;0;0;0;0;MAN
-241;Time Stamp;18.06.2002;11:00:00;1612;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;230;0;0;0;0;0;0;0;MAN
-242;Time Stamp;18.06.2002;10:00:00;1612;0,00; ;0;0;0;50,1;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;227;0;0;0;0;0;0;0;MAN
-243;Time Stamp;18.06.2002;09:00:00;1610;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;231;0;0;0;0;0;0;0;MAN
-244;Time Stamp;18.06.2002;08:00:00;1609;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;230;0;0;0;0;0;0;0;MAN
-245;Time Stamp;18.06.2002;07:00:00;1605;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;228;0;0;0;0;0;0;0;MAN
-246;Time Stamp;18.06.2002;06:00:00;1606;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,5;232;0;0;0;0;0;0;0;MAN
-247;Time Stamp;18.06.2002;05:00:00;1618;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;54,0;227;0;0;0;0;0;0;0;MAN
-248;Time Stamp;18.06.2002;04:00:00;1617;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;232;0;0;0;0;0;0;0;MAN
-249;Time Stamp;18.06.2002;03:00:00;1617;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;227;0;0;0;0;0;0;0;MAN
-250;Time Stamp;18.06.2002;02:00:00;1616;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;227;0;0;0;0;0;0;0;MAN
-251;Time Stamp;18.06.2002;01:00:00;1616;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,9;228;0;0;0;0;0;0;0;MAN
-252;Time Stamp;18.06.2002;00:00:00;1615;0,00; ;0;0;0;49,9;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-253;Time Stamp;17.06.2002;23:00:00;1614;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;230;0;0;0;0;0;0;0;MAN
-254;Time Stamp;17.06.2002;22:00:00;1614;0,00; ;0;0;0;50,1;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-255;Time Stamp;17.06.2002;21:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;230;0;0;0;0;0;0;0;MAN
-256;Time Stamp;17.06.2002;20:00:00;1614;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;228;0;0;0;0;0;0;0;MAN
-257;Time Stamp;17.06.2002;19:00:00;1614;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;230;0;0;0;0;0;0;0;MAN
-258;Time Stamp;17.06.2002;18:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;230;0;0;0;0;0;0;0;MAN
-259;Time Stamp;17.06.2002;17:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;232;0;0;0;0;0;0;0;MAN
-260;Time Stamp;17.06.2002;16:00:00;1614;0,00; ;0;0;0;50,1;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;228;0;0;0;0;0;0;0;MAN
-261;Time Stamp;17.06.2002;15:00:00;1614;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;227;0;0;0;0;0;0;0;MAN
-262;Time Stamp;17.06.2002;14:00:00;1614;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;227;0;0;0;0;0;0;0;MAN
-263;Time Stamp;17.06.2002;13:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;231;0;0;0;0;0;0;0;MAN
-264;Time Stamp;17.06.2002;12:00:00;1614;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;230;0;0;0;0;0;0;0;MAN
-265;Time Stamp;17.06.2002;11:00:00;1613;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;228;0;0;0;0;0;0;0;MAN
-266;Time Stamp;17.06.2002;10:00:00;1612;0,00; ;0;0;0;50,1;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,8;227;0;0;0;0;0;0;0;MAN
-267;Time Stamp;17.06.2002;09:00:00;1611;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;231;0;0;0;0;0;0;0;MAN
-268;Time Stamp;17.06.2002;08:00:00;1610;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;230;0;0;0;0;0;0;0;MAN
-269;Time Stamp;17.06.2002;07:00:00;1607;0,00; ;0;0;0;50,1;230;0;0;0;0;0;20,9;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,6;227;0;0;0;0;0;0;0;MAN
-270;Time Stamp;17.06.2002;06:00:00;1604;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;49;53;#####;00000000 00000000;01000100 00000000;53,5;229;0;0;0;0;0;0;0;MAN
-271;Time Stamp;17.06.2002;05:00:00;1609;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;50;53;#####;00000000 00000000;01000100 00000000;53,7;228;0;0;0;0;0;0;0;MAN
-272;Running;17.06.2002;04:14:51;1626;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,8;3,7;50;53;#####;00000000 00000000;01000000 00000000;54,2;227;0;0;0;0;0;0;0;MAN
-273;Idle Run;17.06.2002;04:14:39;524;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,8;3,7;50;53;#####;00000000 00000000;01000000 00000000;0,0;195;0;0;0;0;0;0;0;MAN
-274;Manual Start;17.06.2002;04:14:37;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;50;53;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-275;Terminal;17.06.2002;04:14:37;T=CELL 2 Start command
-276;Ready;16.06.2002;07:24:56;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,0;3,7;50;54;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-277;Fault reset;16.06.2002;07:24:55;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,0;3,7;50;54;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-278;Terminal;16.06.2002;07:24:55;T=CELL 1 FaultReset command
-279;Not Ready;16.06.2002;07:11:24;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,0;3,7;49;54;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-280;GCB Opened;16.06.2002;07:11:22;360;0,00; ;0;0;0;50,0;235;0;0;0;0;0;21,1;3,7;49;54;#####;00000000 00000000;00000010 00000000;13,2;168;0;0;0;0;0;0;0;MAN
-281;Gen-set Stop;16.06.2002;07:11:22;374;0,00; ;0;0;0;50,0;222;0;0;0;0;0;21,1;3,7;49;54;#####;00000000 00000000;01100100 00000000;13,8;166;0;0;0;0;0;0;0;MAN
