No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
-32;Ready;28.06.2002;05:38:42;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,8;3,6;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-33;Fault reset;28.06.2002;05:38:41;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,8;3,6;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-34;Not Ready;28.06.2002;05:36:50;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,0;3,6;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-35;GCB Opened;28.06.2002;05:36:48;335;0,00; ;0;0;0;50,0;234;0;0;0;0;0;21,0;3,6;50;52;#####;00000000 00000000;00000010 00000000;12,4;151;0;0;0;0;0;0;0;MAN
-36;Gen-set Stop;28.06.2002;05:36:48;351;0,00; ;0;0;0;50,1;233;0;0;0;0;0;21,0;3,6;50;52;#####;00000000 00000000;01100100 00000000;12,9;162;0;0;0;0;0;0;0;MAN
-37;Sd Underspeed;28.06.2002;05:36:48;351;0,00; ;0;0;0;50,0;229;0;0;0;0;0;21,0;3,6;50;52;#####;00000000 00000000;01100100 00000000;12,9;162;0;0;0;0;0;0;0;MAN
-38;Running;28.06.2002;05:36:36;1617;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,6;50;52;#####;00000000 00000000;01000000 00000000;53,9;230;0;0;0;0;0;0;0;MAN
-39;Idle Run;28.06.2002;05:36:24;501;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,6;50;52;#####;00000000 00000000;01000000 00000000;0,0;180;0;0;0;0;0;0;0;MAN
-40;Manual Start;28.06.2002;05:36:21;0;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,6;50;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-41;Ready;28.06.2002;05:12:57;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-42;Switched On;28.06.2002;05:12:56;System started
-43;Mains Underfrequency;28.06.2002;05:12:41;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
